Opp,,Ranks,,Rushing,,,Receiving,,,numberFire,,DraftKings,,,
Player,Team,Def Rank,Ovr,Pos,Att,Yds,TDs,Rec,Yds,TDs,CI,FP,FP,Cost,Value
"Jarius Wright (WR, MIN)",GB,#13,176,71,0.13,1.81,0.04,2.03,20.60,0.07,-0.23-6.03,2.90,4.93,$3000,1.64
"Donte Moncrief (WR, IND)",JAC,#19,179,72,0.05,0.07,0.00,1.40,18.74,0.15,-0.43-6.03,2.80,4.2,$3000,1.4
"Brandon Tate (WR, CIN)",HOU,#4,183,73,0.14,0.16,0.00,1.59,19.42,0.13,0.22-5.18,2.70,4.3,$3000,1.43
"Brandon Lloyd (WR, SF)",WSH,#22,187,74,0.00,0.00,0.00,0.91,16.41,0.15,-0.38-5.52,2.57,3.47,$3000,1.16
"Corey Fuller (WR, DET)",NE,#9,188,75,0.00,0.00,0.00,1.15,18.38,0.12,0.05-5.01,2.53,3.75,$3000,1.25
"Louis Murphy (WR, TB)",CHI,#30,191,76,0.00,0.00,0.00,1.56,18.71,0.10,0.09-4.79,2.44,4.02,$3000,1.34
"Andre Roberts (WR, WSH)",SF,#8,192,77,0.08,0.05,0.00,1.70,21.31,0.04,0.67-4.11,2.39,4.13,$3000,1.38
"Robert Woods (WR, BUF)",NYJ,#24,193,78,0.00,0.00,0.00,1.86,18.00,0.10,0.1-4.66,2.38,4.25,$3400,1.25
"Harry Douglas (WR, ATL)",CLE,#18,194,79,0.00,0.00,0.00,1.63,18.44,0.08,-0.22-4.92,2.35,3.95,$3200,1.23
"Riley Cooper (WR, PHI)",TEN,#27,198,80,0.00,0.00,0.00,2.07,20.74,0.03,0.03-4.45,2.24,4.4,$3700,1.19
"Brandon Gibson (WR, MIA)",DEN,#10,201,81,0.00,0.00,0.00,1.43,17.74,0.07,-0.04-4.4,2.18,3.61,$3000,1.2
"Marquess Wilson (WR, CHI)",TB,#28,202,82,0.00,0.00,0.00,2.40,21.72,0.00,-0.29-4.63,2.17,4.57,$3000,1.52
"Cole Beasley (WR, DAL)",NYG,#20,203,83,0.00,0.00,0.00,1.52,16.53,0.09,-0.51-4.81,2.15,3.7,$3000,1.23
"Jeff Janis (WR, GB)",MIN,#15,204,84,0.00,0.00,0.00,1.14,18.37,0.05,0.03-4.25,2.14,3.28,$3000,1.09
"Mike Williams (WR, BUF)",NYJ,#24,207,85,0.00,0.00,0.00,1.07,12.58,0.13,-0.35-4.41,2.03,3.1,$3000,1.03
"Devin Hester (WR, ATL)",CLE,#18,207,85,0.06,0.25,0.00,1.45,15.48,0.08,-0.64-4.7,2.03,3.51,$3000,1.17
"Marqise Lee (WR, JAC)",IND,#25,210,86,0.09,0.84,0.00,1.63,16.95,0.02,0.38-3.32,1.85,3.52,$3000,1.17
"Jeremy Kerley (WR, NYJ)",BUF,#7,211,87,0.00,0.00,0.00,1.31,15.33,0.04,-0.33-3.85,1.76,3.07,$3000,1.02
"Junior Hemingway (WR, KC)",OAK,#14,212,88,0.00,0.00,0.00,1.22,14.49,0.04,-0.07-3.57,1.75,2.96,$3000,0.99
"Stedman Bailey (WR, STL)",SD,#26,214,89,0.01,0.16,0.00,1.04,13.33,0.05,-0.1-3.36,1.63,2.69,$3000,0.9
"Danny Amendola (WR, NE)",DET,#2,215,90,0.00,0.00,0.00,1.25,14.06,0.03,0.14-3,1.57,2.84,$3000,0.95
"Hakeem Nicks (WR, IND)",JAC,#19,215,90,0.00,0.00,0.00,1.61,14.24,0.03,-0.19-3.33,1.57,3.22,$3000,1.07
"Aaron Dobson (WR, NE)",DET,#2,222,91,0.00,0.00,0.00,1.14,12.50,0.03,-0.05-2.89,1.42,2.57,$3000,0.86
"Jacoby Jones (WR, BAL)",NO,#31,229,92,0.07,0.37,0.00,0.66,7.14,0.07,-0.29-2.61,1.16,1.85,$3000,0.62
"Denarius Moore (WR, OAK)",KC,#12,230,93,0.02,0.00,0.00,1.08,11.67,0.00,0.3-2,1.15,2.24,$3000,0.75
"Bruce Ellington (WR, SF)",WSH,#22,233,94,0.02,0.05,0.00,0.44,7.10,0.06,0.12-2.06,1.09,1.53,$3000,0.51
"Robert Meachem (WR, NO)",BAL,#5,237,95,0.00,0.00,0.00,0.52,7.89,0.04,-0.35-2.43,1.04,1.55,$3000,0.52
"Chris Hogan (WR, BUF)",NYJ,#24,240,96,0.00,0.00,0.00,0.48,6.29,0.06,0.15-1.83,0.99,1.47,$4600,0.32
"Eric Weems (WR, ATL)",CLE,#18,241,97,0.00,0.00,0.00,0.45,6.67,0.05,0.01-1.95,0.98,1.42,$3000,0.47
"Chris Givens (WR, STL)",SD,#26,246,98,0.01,-0.05,0.00,0.77,9.46,0.00,-0.18-2.02,0.92,1.7,$3000,0.57
"Keshawn Martin (WR, HOU)",CIN,#21,249,99,0.00,0.00,0.00,1.03,7.81,0.03,-0.18-1.96,0.89,1.95,$3000,0.65
"Dwayne Harris (WR, DAL)",NYG,#20,252,100,0.03,0.12,0.00,0.40,5.50,0.04,0.05-1.61,0.83,1.2,$3000,0.4
"Charles Johnson (WR, MIN)",GB,#13,254,101,0.00,0.00,0.00,0.44,6.44,0.03,0.07-1.53,0.80,1.26,$3500,0.36
"Chris Owusu (WR, NYJ)",BUF,#7,256,102,0.00,0.00,0.00,0.40,5.05,0.04,-0.05-1.55,0.75,1.15,$0,0
"Russell Shepard (WR, TB)",CHI,#30,258,103,0.00,0.00,0.00,0.36,6.12,0.02,0.04-1.4,0.72,1.09,$3000,0.36
"Devin Street (WR, DAL)",NYG,#20,260,104,0.00,0.00,0.00,0.40,5.34,0.03,-0.36-1.78,0.71,1.11,$3000,0.37
"T.J. Graham (WR, NYJ)",BUF,#7,263,105,0.00,0.00,0.00,0.22,4.35,0.04,-0.16-1.5,0.67,0.9,$3100,0.29
"Kamar Aiken (WR, BAL)",NO,#31,266,106,0.00,0.00,0.00,0.45,5.18,0.02,0.06-1.22,0.64,1.08,$3000,0.36
"Kris Durham (WR, TEN)",PHI,#6,267,107,0.00,0.00,0.00,0.42,5.35,0.02,0.05-1.21,0.63,1.08,$3000,0.36
"Jaron Brown (WR, ARI)",SEA,#11,268,108,0.01,0.04,0.00,0.33,4.02,0.04,-0.01-1.25,0.62,0.98,$3000,0.33
"Rishard Matthews (WR, MIA)",DEN,#10,270,109,0.00,0.00,0.00,0.27,4.69,0.02,-0.07-1.27,0.60,0.86,$3000,0.29
"Brian Tyms (WR, NE)",DET,#2,270,109,0.00,0.00,0.00,0.20,3.81,0.04,-0.14-1.34,0.60,0.82,$3000,0.27
"DeVier Posey (WR, HOU)",CIN,#21,270,109,0.00,0.00,0.00,0.39,4.97,0.02,-0.01-1.21,0.60,1.01,$3000,0.34
"Saalim Hakim (WR, NYJ)",BUF,#7,271,110,0.00,0.00,0.00,0.40,5.15,0.01,0.05-1.13,0.59,0.98,$3000,0.33
"Walt Powell (WR, NYJ)",BUF,#7,271,110,0.00,0.00,0.00,0.40,5.15,0.01,0.05-1.13,0.59,0.98,$3000,0.33
"Damian Williams (WR, STL)",SD,#26,271,110,0.00,0.00,0.00,0.36,5.17,0.01,-0.02-1.2,0.59,0.94,$3000,0.31
"Marquise Goodwin (WR, BUF)",NYJ,#24,272,111,0.02,0.03,0.00,0.23,4.50,0.02,-0.04-1.2,0.58,0.8,$3000,0.27
"Marcus Easley (WR, BUF)",NYJ,#24,272,111,0.00,0.00,0.00,0.37,4.76,0.02,0.02-1.14,0.58,0.97,$3000,0.32
"Santana Moss (WR, WSH)",SF,#8,273,112,0.00,0.00,0.00,0.36,4.39,0.02,-0.05-1.19,0.57,0.92,$3000,0.31
"Cody Latimer (WR, DEN)",MIA,#1,274,113,0.00,0.00,0.00,0.40,4.75,0.01,-0.03-1.13,0.55,0.94,$3000,0.31
"Chris Williams (WR, CHI)",TB,#28,275,114,0.00,0.00,0.00,0.36,4.74,0.01,0.03-1.03,0.53,0.89,$3000,0.3
"Albert Wilson (WR, KC)",OAK,#14,275,114,0.00,0.00,0.00,0.36,4.41,0.01,0.03-1.03,0.53,0.86,$3000,0.29
"Quinton Patton (WR, SF)",WSH,#22,275,114,0.00,0.00,0.00,0.33,4.50,0.01,0.02-1.04,0.53,0.84,$3000,0.28
"Rashad Ross (WR, CHI)",TB,#28,275,114,0.00,0.00,0.00,0.36,4.74,0.01,0.03-1.03,0.53,0.89,$0,0
"Trindon Holliday (WR, TB)",CHI,#30,276,115,0.00,0.00,0.00,0.36,4.37,0.01,-0.05-1.09,0.52,0.86,$0,0
"LaRon Byrd (WR, CLE)",ATL,#32,280,116,0.00,0.00,0.00,0.36,4.41,0.01,-0.06-1.04,0.49,0.86,$0,0
"Marlon Moore (WR, CLE)",ATL,#32,280,116,0.00,0.00,0.00,0.36,4.41,0.01,-0.06-1.04,0.49,0.86,$3000,0.29
"Corey Washington (WR, NYG)",DAL,#16,281,117,0.00,0.00,0.00,0.28,4.02,0.01,-0.05-1.01,0.48,0.74,$3000,0.25
"Robert Herron (WR, TB)",CHI,#30,284,118,0.01,0.04,0.00,0.33,4.29,0.00,-0.05-0.97,0.46,0.76,$3000,0.25
"Greg Salas (WR, NYJ)",BUF,#7,284,118,0.00,0.00,0.00,0.20,3.28,0.02,-0.11-1.03,0.46,0.65,$3000,0.22
"Damaris Johnson (WR, HOU)",CIN,#21,286,119,0.01,0.01,0.00,0.36,3.63,0.01,-0.12-1.02,0.45,0.78,$3000,0.26
"Matt Slater (WR, NE)",DET,#2,286,119,0.00,0.00,0.00,0.32,4.23,0.00,0.01-0.89,0.45,0.74,$0,0
"Ryan Grant (WR, WSH)",SF,#8,287,120,0.00,0.00,0.00,0.29,3.80,0.01,-0.04-0.9,0.43,0.73,$3000,0.24
"Nick Toon (WR, NO)",BAL,#5,287,120,0.00,0.00,0.00,0.32,4.03,0.00,0.01-0.85,0.43,0.72,$3000,0.24
"Ryan Broyles (WR, DET)",NE,#9,289,121,0.00,0.00,0.00,0.19,3.03,0.02,-0.12-0.94,0.41,0.61,$3000,0.2
"Jeff Maehl (WR, PHI)",TEN,#27,289,121,0.00,0.00,0.00,0.40,3.80,0.01,0.02-0.8,0.41,0.83,$3000,0.28
"Marlon Brown (WR, BAL)",NO,#31,290,122,0.00,0.00,0.00,0.38,3.58,0.01,0.01-0.79,0.40,0.8,$3000,0.27
"Paul Richardson (WR, SEA)",ARI,#3,291,123,0.00,0.00,0.00,0.37,3.11,0.01,-0.1-0.88,0.39,0.74,$3000,0.25
